CODMEC,ANO,DEP,NOME,SETEDU,DISTRITO,SUBPREF,DIRET,ZONA,EFABAND9ANOS1S,EFABAND9ANOS2S,EFABAND9ANOS3S,EFABAND9ANOS4S,EFABAND9ANOS5S,EFABAND9ANOS6S,EFABAND9ANOS7S,EFABAND9ANOS8S,EFABAND9ANOS9S,EFABAND1S,EFABAND2S,EFABAND3S,EFABAND4S,EFABAND5S,EFABAND6S,EFABAND7S,EFABAND8S,TOTALEF_ABAND,EFAPROV9ANOS1S,EFAPROV9ANOS2S,EFAPROV9ANOS3S,EFAPROV9ANOS4S,EFAPROV9ANOS5S,EFAPROV9ANOS6S,EFAPROV9ANOS7S,EFAPROV9ANOS8S,EFAPROV9ANOS9S,EFAPROV1S,EFAPROV2S,EFAPROV3S,EFAPROV4S,EFAPROV5S,EFAPROV6S,EFAPROV7S,EFAPROV8S,TOTALEF_APROV,EFREPROV9ANOS1S,EFREPROV9ANOS2S,EFREPROV9ANOS3S,EFREPROV9ANOS4S,EFREPROV9ANOS5S,EFREPROV9ANOS6S,EFREPROV9ANOS7S,EFREPROV9ANOS8S,EFREPROV9ANOS9S,EFREPROV1S,EFREPROV2S,EFREPROV3S,EFREPROV4S,EFREPROV5S,EFREPROV6S,EFREPROV7S,EFREPROV8S,TOTALEF_REPROV,CONCLUINTES_EF,EMABAND1S,EMABAND2S,EMABAND3S,EMABAND4S,TOTAL_EM_ABAND,EMREPROV1S,EMREPROV2S,EMREPROV3S,EMREPROV4S,TOTAL_EM_REPROV,EMAPROV1S,EMAPROV2S,EMAPROV3S,EMAPROV4S,TOTAL_EM_APROV,CONCLUINTES_EM,CONCLUINTES_EJA,EPAPROV,EPREPROV,EPABAND,EJAIABAND,EJAIAPROV,EJAIREPROV,EJAITOTAL,EJAIIABAND,EJAIIAPROV,EJAIIREPROV,EJAIITOTAL,EJATOT
35100171,2015,PARTICULAR,NOSSA SENHORA DAS DORES COLEGIO,0,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,42,60,25,26,38,34,25,29,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28,27,27,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100183,2015,PARTICULAR,LICEU CARVALHO PINTO EIFM,0,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,53,34,35,34,32,24,20,17,0,0,0,0,0,0,0,0,305,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,2,0,0,3,20,14,17,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100213,2015,PARTICULAR,MOYE PADRE COLEGIO,0,LIMAO,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,50,46,53,75,63,65,76,81,0,0,0,0,0,0,0,0,556,0,0,0,1,0,2,1,2,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,2,81,69,57,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100298,2015,PARTICULAR,ORLANDO GARCIA DA SILVEIRA COLEGIO,0,FREGUESIA DO O,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,24,31,31,32,32,30,22,17,0,0,0,0,0,0,0,0,260,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,3,16,13,16,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100304,2015,PARTICULAR,SANTA LUCIA FILIPPINI COLEGIO,0,FREGUESIA DO O,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,89,59,61,85,71,46,63,44,0,0,0,0,0,0,0,0,606,0,1,1,0,3,0,2,5,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,4,28,26,33,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100328,2015,PARTICULAR,WELLINGTON CENTRO DE INTEGRADO,0,FREGUESIA DO O,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,48,41,50,60,51,63,65,0,0,0,0,0,0,0,0,465,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,0,0,5,29,48,33,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100353,2015,PARTICULAR,ADVENTISTA DE VILA NOVA CACHOEIRINHA COLEGIO,0,CACHOEIRINHA,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,60,62,57,56,66,64,35,65,0,0,0,0,0,0,0,0,526,0,1,1,0,1,1,1,3,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,57,67,45,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100365,2015,PARTICULAR,SESI 388 CENTRO EDUCACIONAL,0,MANDAQUI,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,31,32,31,32,28,31,30,0,0,0,0,0,0,0,0,274,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,3,0,1,0,4,26,27,31,0,84,0,0,0,0,0,0,0,0,0,88,10,0,0,0
35100420,2015,PARTICULAR,IMPERATRIZ LEOPOLDINA COLEGIO,0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,78,76,44,93,100,96,77,89,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,0,0,8,59,39,45,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100432,2015,PARTICULAR,JARDIM SAO PAULO COLEGIO,0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,182,192,180,180,232,227,211,175,0,0,0,0,0,0,0,0,1771,0,0,0,0,0,1,5,2,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,28,21,5,0,54,156,152,124,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100444,2015,PARTICULAR,LUIZA DE MARILLAC COLEGIO,0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,25,20,17,28,20,29,25,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,30,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100468,2015,PARTICULAR,SAA COLEGIO,0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,37,31,34,23,37,31,21,0,0,0,0,0,0,0,0,283,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,34,40,36,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100473,2015,PARTICULAR,SANTA TERESINHA COLEGIO SALESIANO,0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,161,191,164,210,166,182,187,185,0,0,0,0,0,0,0,0,1676,0,0,0,0,1,1,8,12,5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,8,0,1,0,9,142,158,161,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100493,2015,PARTICULAR,SANTANA COLEGIO EIFM,0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,23,19,23,28,26,32,42,0,0,0,0,0,0,0,0,230,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,1,0,0,5,38,34,34,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100547,2015,PARTICULAR,NOSSA SENHORA DA CONSOLATA COLEGIO,0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,62,47,49,61,48,62,80,70,0,0,0,0,0,0,0,0,537,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,5,59,52,53,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100663,2015,PARTICULAR,MADRE MAZZARELLO INSTITUTO,0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,42,25,38,48,40,56,60,0,0,0,0,0,0,0,0,378,0,0,0,0,1,0,2,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,1,0,3,58,44,63,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100730,2015,PARTICULAR,AMORIM SANTA TERESA COLEGIO,0,VILA GUILHERME,VILA MARIA/VILA GUILHERME,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,97,58,60,61,72,55,80,0,0,0,0,0,0,0,0,612,0,0,1,1,1,0,2,2,3,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,7,6,0,0,13,77,57,68,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100785,2015,PARTICULAR,SAO TEODORO DE NOSSA SENHORA DE SION ESCOLA,0,VILA MARIA,VILA MARIA/VILA GUILHERME,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,47,58,40,43,52,79,57,65,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,3,0,0,6,41,31,44,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100808,2015,PARTICULAR,NOVE DE JULHO COLEGIO UNIDADE I,0,VILA MARIA,VILA MARIA/VILA GUILHERME,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,65,62,57,57,57,91,69,72,87,0,0,0,0,0,0,0,0,617,0,0,0,0,0,4,7,4,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,5,1,0,9,116,109,86,0,311,0,0,26,0,0,0,0,0,0,0,0,0,0,0
35100900,2015,PARTICULAR,NOSSA SENHORA DO CARMO EDUCANDARIO,0,TUCURUVI,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,23,30,15,27,27,33,29,0,0,0,0,0,0,0,0,226,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,4,38,28,25,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100912,2015,PARTICULAR,SAO PAULO DA CRUZ COLEGIO PASSIONISTA,0,TUCURUVI,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,58,82,72,79,104,115,99,114,0,0,0,0,0,0,0,0,777,0,0,1,0,0,1,4,3,8,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,7,7,1,0,15,107,90,75,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101011,2015,PARTICULAR,ADVENTISTA DE TUCURUVI COLEGIO,0,TUCURUVI,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,46,57,58,54,69,62,85,67,0,0,0,0,0,0,0,0,539,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,2,0,0,10,62,62,83,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101047,2015,PARTICULAR,PAULISTA ESCOLA,0,TUCURUVI,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,51,51,54,51,52,54,72,60,0,0,0,0,0,0,0,0,478,0,2,0,0,1,3,2,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,2,0,0,9,80,61,85,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101096,2015,PARTICULAR,LUIZ TEZZA PADRE COLEGIO,0,TUCURUVI,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,31,19,24,37,17,9,14,0,0,0,0,0,0,0,0,213,0,2,1,0,0,3,1,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1,19,12,14,0,45,0,0,20,4,2,0,0,0,0,0,0,0,0,0
35101148,2015,PARTICULAR,PASSIONISTA SANTA GEMA COLEGIO,0,TREMEMBE,JACANA/TREMEMBE,JACANA/TREMEMBE,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,39,24,25,21,28,21,27,23,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,32,22,29,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101151,2015,PARTICULAR,NOSSA SENHORA DE LOURDES COLEGIO,0,AGUA RASA,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,45,38,42,43,62,72,37,63,79,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,4,7,12,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,16,8,0,0,24,60,62,72,0,194,0,0,61,1,0,0,0,0,0,0,0,0,0,0
35101175,2015,PARTICULAR,SANTA CATARINA COLEGIO,0,MOOCA,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,96,84,79,107,95,89,108,85,0,0,0,0,0,0,0,0,820,0,1,0,0,0,2,14,3,4,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,8,1,5,0,14,63,59,74,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101266,2015,PARTICULAR,SESI 032 CENTRO EDUCACIONAL,0,BELEM,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,64,63,63,62,56,59,56,0,0,0,0,0,0,0,0,543,4,4,0,1,1,1,7,5,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,1,61,63,60,0,184,0,0,42,14,2,0,0,0,0,86,22,0,0,0
35101278,2015,PARTICULAR,SAO JOSE COLEGIO AGOSTINIANO,0,BELEM,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,178,163,117,172,200,159,142,154,0,0,0,0,0,0,0,0,1492,1,0,0,0,0,18,13,5,4,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,10,1,0,0,11,166,112,124,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101333,2015,PARTICULAR,NOSSA SENHORA AUXILIADORA INSTITUTO,0,BELEM,MOOCA,PENHA,LESTE,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,60,43,51,45,41,47,42,52,46,0,0,0,0,0,0,0,0,427,0,0,0,4,2,9,4,2,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,1,0,0,3,32,35,24,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101448,2015,PARTICULAR,SAO JUDAS TADEU COLEGIO,0,MOOCA,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,59,63,64,74,85,73,93,84,0,0,0,0,0,0,0,0,644,0,1,0,0,1,8,8,5,13,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,20,10,2,0,32,77,72,83,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101539,2015,PARTICULAR,SANTA CRUZ LICEU,0,MOOCA,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,27,7,15,25,17,21,29,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,26,16,30,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101564,2015,PARTICULAR,SANTA MARIA ESCOLA,0,PARI,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,31,31,44,27,42,33,27,0,0,0,0,0,0,0,0,289,0,0,0,0,0,1,1,8,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,5,0,0,11,32,27,20,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101597,2015,PARTICULAR,JOAO XXIII COLEGIO,0,VILA PRUDENTE,VILA PRUDENTE,IPIRANGA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,103,137,92,130,114,97,109,104,0,0,0,0,0,0,0,0,1007,0,0,2,0,9,0,17,0,7,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,21,12,10,0,43,112,91,76,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101618,2015,PARTICULAR,NOSSA SENHORA DE FATIMA COLEGIO,0,SAPOPEMBA,SAPOPEMBA,SAO MATEUS,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,60,46,47,57,74,63,79,62,0,0,0,0,0,0,0,0,539,0,2,2,1,1,1,1,3,7,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,14,3,1,0,18,59,71,62,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101643,2015,PARTICULAR,NOSSA SENHORA APARECIDA EDUCANDARIO,0,VILA PRUDENTE,VILA PRUDENTE,IPIRANGA,LESTE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,61,68,39,63,82,71,62,61,0,0,0,0,0,0,0,0,562,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,5,2,0,0,7,29,38,32,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101667,2015,PARTICULAR,PARQUE SEVILHA COLEGIO,0,SAO LUCAS,VILA PRUDENTE,IPIRANGA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,45,43,32,33,29,32,23,25,0,0,0,0,0,0,0,0,332,1,0,0,1,2,8,4,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,4,21,29,13,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101679,2015,PARTICULAR,CASTRO ALVES COLEGIO,0,SAO LUCAS,VILA PRUDENTE,IPIRANGA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,92,54,73,68,72,57,68,65,0,0,0,0,0,0,0,0,634,0,0,1,1,1,1,2,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,4,48,63,24,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35101692,2015,PARTICULAR,CIVITATIS COLEGIO,0,VILA PRUDENTE,VILA PRUDENTE,IPIRANGA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,49,68,45,77,83,71,78,82,0,0,0,0,0,0,0,0,600,0,0,0,0,0,7,3,3,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,3,0,0,8,49,71,54,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
