Columns,Missing,Percent missing
ALE9FAC,1337,0.6625371655104063
CLE9F1A5,15,0.007433102081268583
CLE9F6A9,15,0.007433102081268583
ALE9F1A5,15,0.007433102081268583
ALE9F6A9,15,0.007433102081268583
CLE9F1A9,513,0.25421209117938554
ALE9F1A9,513,0.25421209117938554
CLFUNDI,15,0.007433102081268583
CLFUNDII,15,0.007433102081268583
CLFUND,15,0.007433102081268583
ALFUND,15,0.007433102081268583
TEG,831,0.41179385530227947
TIPOENSEJA,1342,0.6650148662041625
CLEJA1A4,1325,0.6565906838453914
CLEJA5A8,1315,0.651635282457879
CLEJAMED,1325,0.6565906838453914
ALEJA1A4,1325,0.6565906838453914
ALEJA5A8,1315,0.651635282457879
ALEJAMED,1308,0.6481665014866204
TOTALEJA,485,0.24033696729435083
ALES1A4_SEMI,1342,0.6650148662041625
ALES5A8_SEMI,1342,0.6650148662041625
ALESMED_SEMI,1342,0.6650148662041625
ALES1A8_EXAME,1342,0.6650148662041625
ALESMED_EXAME,1342,0.6650148662041625
ALEDPROF,478,0.23686818632309217
EE_VIS_MED,1151,0.570366699702676
EE_BVIS_MED,1105,0.5475718533201189
EE_INTELECTUAL_MED,1268,0.6283448959365708
EE_AUD_MED,1133,0.5614469772051536
EE_BAUD_MED,1135,0.5624380574826561
EE_Surdo_Cegueira_MED,1165,0.5773042616451932
EE_FIS_MED,1076,0.533201189296333
EE_MEN_MED,959,0.47522299306243804
EE_Transtornos_MED,837,0.4147670961347869
EE_Down_MED,837,0.4147670961347869
EE_MUL_MED,1151,0.570366699702676
EE_SUP_MED,1157,0.5733399405351833
EE_Autismo_MED,1105,0.5475718533201189
EE_Asperger_MED,1150,0.5698711595639246
EE_Ret_MED,1165,0.5773042616451932
EE_TDI_MED,1158,0.5738354806739346
EE_CON_MED,837,0.4147670961347869
EE_OUT_MED,837,0.4147670961347869
TOT_EE_MED,584,0.2893954410307235
EE_VIS_CRE,1188,0.5887016848364718
EE_BVIS_CRE,1188,0.5887016848364718
EE_INTELECTUAL_CRE,1351,0.6694747274529237
EE_AUD_CRE,1183,0.5862239841427156
EE_BAUD_CRE,1188,0.5887016848364718
EE_Surdo_Cegueira_CRE,1188,0.5887016848364718
EE_FIS_CRE,1171,0.5802775024777007
EE_MEN_CRE,1152,0.5708622398414271
EE_Transtornos_CRE,837,0.4147670961347869
EE_Down_CRE,837,0.4147670961347869
EE_MUL_CRE,1186,0.5877106045589693
EE_SUP_CRE,1188,0.5887016848364718
EE_Autismo_CRE,1183,0.5862239841427156
EE_Asperger_CRE,1185,0.5872150644202181
EE_Ret_CRE,1188,0.5887016848364718
EE_TDI_CRE,1188,0.5887016848364718
EE_CON_CRE,837,0.4147670961347869
EE_OUT_CRE,837,0.4147670961347869
TOT_EE_CRE,820,0.40634291377601583
EE_VIS_FUND,1120,0.5550049554013875
EE_BVIS_FUND,1026,0.5084241823587711
EE_INTELECTUAL_FUND,1169,0.5792864222001982
EE_AUD_FUND,1100,0.5450941526263627
EE_BAUD_FUND,1084,0.5371655104063429
EE_Surdo_Cegueira_FUND,1129,0.5594648166501487
EE_FIS_FUND,879,0.43557978196233893
EE_MEN_FUND,665,0.3295341922695738
EE_Transtornos_FUND,837,0.4147670961347869
EE_Down_FUND,837,0.4147670961347869
EE_MUL_FUND,1118,0.554013875123885
EE_SUP_FUND,1113,0.5515361744301288
EE_Autismo_FUND,966,0.4786917740336967
EE_Asperger_FUND,1107,0.5485629335976214
EE_Ret_FUND,1146,0.5678889990089198
EE_TDI_FUND,1125,0.5574826560951437
EE_CON_FUND,837,0.4147670961347869
EE_OUT_FUND,837,0.4147670961347869
TOT_EE_FUND,317,0.1570862239841427
EE_VIS_EJA,1182,0.5857284440039643
EE_BVIS_EJA,1182,0.5857284440039643
EE_INTELECTUAL_EJA,1352,0.6699702675916749
EE_AUD_EJA,1182,0.5857284440039643
EE_BAUD_EJA,1181,0.5852329038652131
EE_Surdo_Cegueira_EJA,1182,0.5857284440039643
EE_FIS_EJA,1181,0.5852329038652131
EE_MEN_EJA,1176,0.5827552031714569
EE_Transtornos_EJA,837,0.4147670961347869
EE_Down_EJA,837,0.4147670961347869
EE_MUL_EJA,1182,0.5857284440039643
EE_SUP_EJA,1182,0.5857284440039643
EE_Autismo_EJA,1177,0.5832507433102081
EE_Asperger_EJA,1182,0.5857284440039643
EE_Ret_EJA,1182,0.5857284440039643
EE_TDI_EJA,1180,0.5847373637264618
EE_CON_EJA,837,0.4147670961347869
EE_OUT_EJA,837,0.4147670961347869
TOT_EE_EJA,842,0.4172447968285431
EE_VIS_EP,1192,0.5906838453914767
EE_BVIS_EP,1191,0.5901883052527255
EE_INTELECTUAL_EP,1362,0.6749256689791873
EE_AUD_EP,1190,0.5896927651139743
EE_BAUD_EP,1190,0.5896927651139743
EE_Surdo_Cegueira_EP,1192,0.5906838453914767
EE_FIS_EP,1189,0.589197224975223
EE_MEN_EP,1186,0.5877106045589693
EE_Transtornos_EP,837,0.4147670961347869
EE_Down_EP,837,0.4147670961347869
EE_MUL_EP,1192,0.5906838453914767
EE_SUP_EP,1192,0.5906838453914767
EE_Autismo_EP,1190,0.5896927651139743
EE_Asperger_EP,1192,0.5906838453914767
EE_Ret_EP,1192,0.5906838453914767
EE_TDI_EP,1192,0.5906838453914767
EE_CON_EP,837,0.4147670961347869
EE_OUT_EP,837,0.4147670961347869
TOT_EE_EP,850,0.42120911793855303
EE_VIS_PRE,1186,0.5877106045589693
EE_BVIS_PRE,1183,0.5862239841427156
EE_AUD_PRE,1182,0.5857284440039643
EE_BAUD_PRE,1184,0.5867195242814668
EE_INTELECTUAL_PRE,1332,0.6600594648166501
EE_Surdo_Cegueira_PRE,1187,0.5882061446977205
EE_FIS_PRE,1136,0.5629335976214074
EE_MEN_PRE,1089,0.5396432111000992
EE_Transtornos_PRE,837,0.4147670961347869
EE_Down_PRE,837,0.4147670961347869
EE_MUL_PRE,1182,0.5857284440039643
EE_SUP_PRE,1184,0.5867195242814668
EE_Autismo_PRE,1172,0.5807730426164519
EE_Asperger_PRE,1182,0.5857284440039643
EE_Ret_PRE,1187,0.5882061446977205
EE_TDI_PRE,1187,0.5882061446977205
EE_CON_PRE,837,0.4147670961347869
EE_OUT_PRE,837,0.4147670961347869
TOT_EE_PRE,758,0.37561942517343905
TOT_EE,207,0.10257680872150644
TIPO_EE,541,0.26808721506442024
EE_Creche,1340,0.66402378592666
EE_Pre,1340,0.66402378592666
EE_Fund,1342,0.6650148662041625
EE_Med,1342,0.6650148662041625
EE_EJA,1342,0.6650148662041625
EE_EP,1342,0.6650148662041625
ALEDESP,1006,0.4985133795837463
